Week,Tm,Opp
1,20,21
2,17,9
3,41,10
4,23,20
5,27,20
6,19,8
7,31,17
8,9,24
9,21,14
10,,
11,17,21
12,31,17
13,19,27
14,17,20
15,27,17
16,14,20
17,25,17
18,13,12
,,
Wild Card,26,7
Division,27,24
Conf. Champ.,17,10
SuperBowl,25,22
